지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppb),평균 아산화질소(N2O) 배경대기농도(ppb),평균 염화불화탄소11(CFC11) 배경대기농도(ppt),평균 염화불화탄소12(CFC12) 배경대기농도(ppt),평균 염화불화탄소113(CFC113) 배경대기농도(ppt),평균 육불화황(SF6) 배경대기농도(ppt)
132,안면도(감),2002-11,380,1870,318.3,260.2,543.7,,
132,안면도(감),2002-12,380.9,1876,319,261.3,544.4,,
132,안면도(감),2003-01,381.9,1895,318.5,256.7,541.3,,
132,안면도(감),2003-02,382.9,,318.7,257.6,540.1,,
132,안면도(감),2003-03,384.1,,320.2,254.2,540.8,,
132,안면도(감),2003-04,384.7,,320.2,261,540.2,,
132,안면도(감),2003-05,383.2,,,262.2,,,
132,안면도(감),2003-06,379.4,1865,,260.6,538.4,,
132,안면도(감),2003-07,374.7,1869,,260.5,541.8,,
132,안면도(감),2003-08,372.1,1831,,260,540.9,,
132,안면도(감),2003-09,374,,,260.2,541.1,,
132,안면도(감),2003-10,378.6,,,259.4,541.6,,
132,안면도(감),2003-11,381.4,1888,,259.1,540,,
132,안면도(감),2003-12,382.3,1898,,258.2,529,,
132,안면도(감),2004-01,384.1,,,258,530.5,,
132,안면도(감),2004-02,385.6,,,,532.3,,
132,안면도(감),2004-03,385.9,,,,538.9,,
132,안면도(감),2004-04,386.2,,,258.2,,,
132,안면도(감),2004-05,384.9,,,258.9,537.4,,
132,안면도(감),2004-06,381.4,,,258.6,539.8,,
132,안면도(감),2004-07,376.9,,,255.5,539.2,,
132,안면도(감),2004-08,374.1,,,256.3,539.6,,
132,안면도(감),2004-09,376.1,1870,,257.6,539.5,,
132,안면도(감),2004-10,380.8,,,262,540.3,,
132,안면도(감),2004-11,383.7,1873,,265,541.5,,
132,안면도(감),2004-12,385.4,1873,,263.1,538.9,,
132,안면도(감),2005-01,386.6,1871,,264.4,540.5,,
132,안면도(감),2005-02,387.5,1866,,264.3,540.1,,
132,안면도(감),2005-03,388.2,1874,,261,540.8,,
132,안면도(감),2005-04,387.9,1865,,265.1,539.8,,
132,안면도(감),2005-05,387,1860,,266.2,539.8,,
132,안면도(감),2005-06,384,1859,,265.4,542.1,,
132,안면도(감),2005-07,378.9,1812,,265.1,,,
132,안면도(감),2005-08,376.3,1823,,263.5,542.4,,
132,안면도(감),2005-09,378.3,1862,,265.5,539.7,,
132,안면도(감),2005-10,382.7,,,264.9,541.1,,
132,안면도(감),2005-11,386.3,,,266.3,538.9,,
132,안면도(감),2005-12,387.5,,,,541,,
132,안면도(감),2006-01,388.3,1857,,,537.3,,
132,안면도(감),2006-02,389.1,1862,,,539,,
132,안면도(감),2006-03,390,1857,,,540.4,,
132,안면도(감),2006-04,391,1848,,,540.6,,
132,안면도(감),2006-05,389.9,1870,,,540.6,,
132,안면도(감),2006-06,386.4,1881,,,,,
132,안면도(감),2006-07,381.8,1832,,265.9,540.9,,
132,안면도(감),2006-08,378.6,1813,321.1,265.4,,,
132,안면도(감),2006-09,380.6,1881,321.8,256.6,523,,
132,안면도(감),2006-10,385.2,1901,321.7,243.9,511,,
132,안면도(감),2006-11,387.9,1890,321.7,240.9,504,,
132,안면도(감),2006-12,389.5,1901,322,238.4,523.1,,
132,안면도(감),2007-01,390.5,1905,322.9,235.1,526.1,,
132,안면도(감),2007-02,391,1901,323.5,239.1,536.9,75.7,
132,안면도(감),2007-03,392.2,1892,322.4,237,550.6,82.3,6.2
132,안면도(감),2007-04,393,1892,321.3,232.5,539,73.9,6.4
132,안면도(감),2007-05,391.7,,321,233.7,539.5,73.9,6.3
132,안면도(감),2007-06,388.1,,320.7,244.7,541.7,79.7,6.5
132,안면도(감),2007-07,383.3,,321.9,236.8,541.6,76.7,6.6
132,안면도(감),2007-08,381,1831,322.4,229.9,551.6,,6.1
132,안면도(감),2007-09,383,1900,321,231.1,552.6,,6
132,안면도(감),2007-10,387.1,,321.4,232.6,546.1,88.5,6
132,안면도(감),2007-11,390.2,1900,321.9,214.9,507.6,82.8,6.4
132,안면도(감),2007-12,391.6,1897,321.8,202.9,489.2,80.4,6.8
132,안면도(감),2008-01,392.5,1900,322.3,208.2,489.1,75.6,6.6
132,안면도(감),2008-02,393.5,1909,321.9,230.3,511,76.9,6.4
132,안면도(감),2008-03,394.6,1913,321.3,228.5,528.5,76.7,6.5
132,안면도(감),2008-04,395.2,1901,320.9,231.3,548.4,79,6
132,안면도(감),2008-05,393.9,1893,321.6,228,528.1,76.8,6.6
132,안면도(감),2008-06,390.5,1896,324.1,223,515.9,74.2,6.9
132,안면도(감),2008-07,385.7,1840,323.7,253.3,534,70.3,6.8
132,안면도(감),2008-08,382.8,1844,321.6,254.1,532.3,76.5,6.7
132,안면도(감),2008-09,384.8,1856,323.8,249.5,518.5,77.8,6.2
132,안면도(감),2008-10,389.2,1901,325.3,246.3,509.4,76.4,6.4
132,안면도(감),2008-11,392.3,1910,323.3,246.1,519,79.3,7
132,안면도(감),2008-12,393.7,1910,322.7,249.5,531.6,82.3,7.1
132,안면도(감),2009-01,394.4,1906,323.3,246,527.4,70.8,7
132,안면도(감),2009-02,395.2,1916,323.3,249.3,530.8,80,7.2
132,안면도(감),2009-03,396.4,1910,323.6,249.9,530.6,78.3,7.1
132,안면도(감),2009-04,397,1906,323.8,246.8,529.2,76.2,7.3
132,안면도(감),2009-05,395.4,1895,323.4,244,518.6,76.7,7.3
132,안면도(감),2009-06,391.6,1881,323.6,241.7,522.7,75.9,7.3
132,안면도(감),2009-07,387.3,1869,324.5,249.7,531.6,79.9,7.4
132,안면도(감),2009-08,384.9,1879,324.4,247.9,526.6,76.7,7.4
132,안면도(감),2009-09,386.8,1908,323.9,246.7,527.5,80,7.4
132,안면도(감),2009-10,391.6,1909,324.2,247.5,527.5,80,7.2
132,안면도(감),2009-11,394.9,1905,324.1,246.2,527.5,80.7,7.4
132,안면도(감),2009-12,396,1915,323.8,247.8,532.5,83.6,7.2
132,안면도(감),2010-01,397.1,1918,323.2,249.5,534.6,81.4,7.5
132,안면도(감),2010-02,397.9,1913,323.3,251.5,539,77.5,7.1
132,안면도(감),2010-03,398,1920,324.4,251.8,539.4,72.2,7.5
132,안면도(감),2010-04,398.3,1907,324.4,213,508.5,,7.8
132,안면도(감),2010-05,397.8,1884,324.3,214.7,513.5,,7.8
132,안면도(감),2010-06,394.8,1902,325.3,223.2,532.2,75.3,7.9
132,안면도(감),2010-07,390.3,1851,325.4,221.3,533.4,79.3,7
132,안면도(감),2010-08,387.8,1863,325.7,207.8,503.1,74,6.8
132,안면도(감),2010-09,389.5,1918,326.4,214.2,510.5,72.4,7.2
132,안면도(감),2010-10,393.6,1913,326.6,238.6,523.8,73.7,8.4
132,안면도(감),2010-11,396.6,1912,325.8,242.2,534.2,75.2,8.6
132,안면도(감),2010-12,397.6,1917,324.3,241.4,538.1,75.2,8.4
132,안면도(감),2011-01,398.6,1911,324.5,257.9,,81,8.3
132,안면도(감),2011-02,399.4,1922,325.3,269,,80.5,8
132,안면도(감),2011-03,399.8,1907,324.5,237.1,501.8,74.1,7.7
132,안면도(감),2011-04,400.5,1906,324.5,240.4,510.4,72,7.6
132,안면도(감),2011-05,400,1903,324.9,233.7,486.1,75.3,7.7
132,안면도(감),2011-06,396.9,1895,324.8,233,480.1,75.6,7.8
132,안면도(감),2011-07,392.1,1877,325.5,234.1,480.4,76.3,8.2
132,안면도(감),2011-08,388.8,1870,324.5,232.8,484.2,76.1,7.9
132,안면도(감),2011-09,390.9,1925,322.6,,485.3,75.6,8.3
132,안면도(감),2011-10,395.9,1919,322.8,239.3,550.5,76.3,8.2
132,안면도(감),2011-11,398.6,1920,322.9,247.4,545.6,75.8,8.7
132,안면도(감),2011-12,399.9,1925,324.1,246.2,543.5,75.1,8.7
132,안면도(감),2012-01,401.3,1929,326.6,231.9,525.7,74.2,8.1
132,안면도(감),2012-02,402.2,1931,326.7,233.1,528.6,75.3,7.9
132,안면도(감),2012-03,403.4,1932,326.2,233,530,76.2,8
132,안면도(감),2012-04,404.3,1918,,222.5,505.9,78.3,8
132,안면도(감),2012-05,403.2,1927,,223.4,500,80.3,8.3
132,안면도(감),2012-06,399.6,1906,,220.7,499.1,77.6,7.9
132,안면도(감),2012-07,394.9,1878,,207.2,503.2,72.9,7.8
132,안면도(감),2012-08,392.2,1881,,204.4,506.2,72.1,8.4
132,안면도(감),2012-09,393.9,1927,,204.8,505.3,71.9,8.4
132,안면도(감),2012-10,398.9,1929,,201.9,504.4,72.5,8.2
132,안면도(감),2012-11,402.3,1933,,198.1,505.4,73.8,8.2
132,안면도(감),2012-12,403.1,1943,,197.7,505.6,73.4,8.1
132,안면도(감),2013-01,404.2,1948,,196.8,503.7,73.8,8.1
132,안면도(감),2013-02,405.3,1953,,194.7,500.8,74,8.1
132,안면도(감),2013-03,406,1948,,214.7,524.9,72.9,8.2
132,안면도(감),2013-04,406.8,1932,,221.1,525.4,73,8.2
132,안면도(감),2013-05,405.5,1932,,221.6,526.6,73.2,8.2
132,안면도(감),2013-06,401.9,1931,,221.8,520.4,73.8,8.4
132,안면도(감),2013-07,397.9,1892,,224,509.6,74.6,8.2
132,안면도(감),2013-08,394.8,1885,,,,71.8,8.2
132,안면도(감),2013-09,396.3,1931,,,,70.4,8.2
132,안면도(감),2013-10,400.8,1940,,224.4,,70.3,8.4
132,안면도(감),2013-11,403.9,1937,325.5,228,,70.5,8.4
132,안면도(감),2013-12,405.6,1942,326.6,241.1,518.5,73.1,8.3
132,안면도(감),2014-01,406.6,1944,,244.8,519.2,73.6,8.4
132,안면도(감),2014-02,407.7,1953,,219.1,508.6,72.6,8.7
132,안면도(감),2014-03,409.2,1943,,230.3,530.6,67.8,8.5
132,안면도(감),2014-04,409.1,1938,,237.1,531,74.4,9.1
132,안면도(감),2014-05,407.5,1941,,239.9,530.4,74.8,9.4
132,안면도(감),2014-06,404.3,1939,,239.8,519.3,72,9.6
132,안면도(감),2014-07,399.3,1885,,240.2,521.5,72.7,9.5
132,안면도(감),2014-08,396.9,1910,326,237.2,520.5,72.2,9.7
132,안면도(감),2014-09,398.9,1962,325.7,,,,9.7
132,안면도(감),2014-10,402.6,1952,325.8,234.7,518.8,71.3,9.5
132,안면도(감),2014-11,405.8,1964,326.3,235.6,517.9,72.6,9.3
132,안면도(감),2014-12,407.8,1962,325.5,232.2,513.7,72.5,8.9
132,안면도(감),2015-01,409.2,1970,328.1,231.7,,69.1,8.9
132,안면도(감),2015-02,410.2,1961,329.5,230.1,530.4,72.7,9.2
132,안면도(감),2015-03,410.6,1954,328.8,232.1,538.6,75.2,9.3
132,안면도(감),2015-04,411.1,1952,328.4,227.3,518.3,71.6,9.2
132,안면도(감),2015-05,410,1937,328.2,227.2,504.9,69.4,9.1
132,안면도(감),2015-06,406.3,1942,329.1,244.1,522.9,72.7,9.2
132,안면도(감),2015-07,402,1925,328.2,235.9,514.7,71.9,9.1
132,안면도(감),2015-08,399.2,1906,329,236.3,516.1,70.8,9.8
132,안면도(감),2015-09,400.8,1972,328.8,237.2,518.5,71.1,9.5
132,안면도(감),2015-10,405.5,1956,329.6,235.3,516.4,71.8,8.9
132,안면도(감),2015-11,409,1979,329.9,232.7,523.7,73.3,9.8
132,안면도(감),2015-12,410.4,1970,330,232.7,523.1,71.9,9.4
132,안면도(감),2016-01,411.4,1967,329.2,239.6,524.6,71.9,9.4
132,안면도(감),2016-02,412.4,1964,329.5,238.4,523.5,,9.3
132,안면도(감),2016-03,413.7,1968,330,,,69.6,9.3
132,안면도(감),2016-04,414.2,1965,330.2,232.3,513,,9.6
132,안면도(감),2016-05,412.8,1966,330.3,235.8,522.4,71.9,9.6
132,안면도(감),2016-06,409.1,1960,330.3,237.1,531.1,72.7,9.8
132,안면도(감),2016-07,404.5,1929,330.3,237.7,533.4,73.2,9.5
132,안면도(감),2016-08,402.1,1920,330.4,239.9,533.1,73.5,9.2
132,안면도(감),2016-09,404.3,1984,330.6,236.8,519.7,72.3,9.3
132,안면도(감),2016-10,408.8,1991,330.1,243,534.1,72.9,
132,안면도(감),2016-11,411.8,1991,329.7,249.1,550,74.2,9.4
132,안면도(감),2016-12,413.2,1980,329.5,243.3,542.4,73.6,9.5
132,안면도(감),2017-01,413.5,1984,330.5,230.4,515.2,71.7,9.1
132,안면도(감),2017-02,414.5,1972,329.7,230,514.8,71.8,9.4
132,안면도(감),2017-03,415.8,1975,330.4,230.7,514.8,72.1,9.6
132,안면도(감),2017-04,416.3,1966,330.7,231.8,511.6,70.4,9.3
132,안면도(감),2017-05,415.2,1962,330.6,232.9,510.5,70.8,9.7
132,안면도(감),2017-06,412.1,1955,331,232.9,510.5,71.8,9.8
132,안면도(감),2017-07,408,1951,332.5,230.4,510,71.6,9.8
132,안면도(감),2017-08,405.1,1958,333,230.9,509.6,71.2,9.7
132,안면도(감),2017-09,406.1,1979,332,232.2,510.5,71.3,9.7
132,안면도(감),2017-10,410.3,1977,332.1,232,508.9,70.9,9.7
132,안면도(감),2017-11,414.1,1977,331.8,228.6,503.8,70.2,9.7
132,안면도(감),2017-12,415.7,1987,332,227.8,502.4,70,9.8
132,안면도(감),2018-06,414.13,1964.3,333.4,230.6,504.8,70.5,9.8
132,안면도(감),2018-07,410.2,1947.58,333,228.2,503.9,70.2,9.7
132,안면도(감),2018-08,406.96,1951,333,228,503.6,70.2,9.7
132,안면도(감),2018-09,408.85,1980.93,332.5,227.9,500,69.7,9.8
132,안면도(감),2018-10,414.18,1980.51,332.7,228.3,499.9,69.7,9.8
132,안면도(감),2018-11,417.66,1988.21,333.3,228.1,500.5,69.9,9.8
132,안면도(감),2018-12,418.41,1989.27,332.9,224.6,497.8,69.4,9.9
132,안면도(감),2019-01,419,1998,332.5,231.3,,71,10.1
132,안면도(감),2019-02,420,2002,333.2,231.8,,70.9,10.1
132,안면도(감),2019-03,421.1,1989,333.3,231.8,,70.9,10.1
132,안면도(감),2019-04,422,1970,333.5,232.2,,70.7,10.2
132,안면도(감),2019-05,420.5,1984,334.3,229.4,499.1,69.5,10.4
132,안면도(감),2019-06,416.8,1993,334.8,229.5,497.6,69.2,10.5
132,안면도(감),2019-07,413.6,1958,334.5,226,496.3,68.8,10.3
132,안면도(감),2019-08,411.8,1979,334.2,225.7,496.1,68.8,10.3
132,안면도(감),2019-09,412.8,2011,334.4,226.8,498.6,69.4,10.3
132,안면도(감),2019-10,416.2,1998,334.3,227,498.3,69.3,10.4
132,안면도(감),2019-11,419.3,1998,333.8,227.2,498.4,68.3,10.3
132,안면도(감),2019-12,421.2,2013,333.9,227,498.7,68.2,10.4
132,안면도(감),2020-01,424.3,2020,334,226.9,499.2,,10.4
132,안면도(감),2020-02,423.6,2007,334.5,226.5,498.8,,10.4
132,안면도(감),2020-03,423.5,1993,334.6,224.6,498.6,,10.4
132,안면도(감),2020-04,424.2,1979,334.7,224.2,498.1,,10.5
132,안면도(감),2020-05,423.4,1984,335.4,224.2,497.1,,10.6
132,안면도(감),2020-06,418.5,2016,336,223.8,496.8,69.1,10.7
132,안면도(감),2020-07,414.4,1979,335.6,222.8,496,69.1,10.5
132,안면도(감),2020-08,413.6,1936,334.8,222,495.6,68.9,10.5
132,안면도(감),2020-09,414.8,2005,335.2,223.1,495.7,69,10.6
132,안면도(감),2020-10,418.7,2028,335.4,223.5,495.3,68.8,10.5
132,안면도(감),2020-11,421.9,2013,334.9,223.1,495.4,68.6,
132,안면도(감),2020-12,423.6,2019,334.5,222.7,495.3,68.9,
132,안면도(감),2021-01,425.614973571554,2014.817492,334.9127674,222.499289349707,495.2330132,69.12936802,
132,안면도(감),2021-02,426.480924452291,2021.350163,335.5325739,222.199180549567,495.2261239,69.06254886,
132,안면도(감),2021-03,426.821126720978,2015.473584,335.8462952,222.337422219671,495.0287547,69.10648469,
132,안면도(감),2021-04,427.072890364311,1996.737857,335.4921855,222.239141366905,494.3218538,69.05231281,
132,안면도(감),2021-05,424.801846267718,1997.179485,335.467121,222.225238541314,493.5276168,69.08873514,11.04235364
132,안면도(감),2021-06,421.756407712739,1995.504815,336.6072952,222.259798841504,493.2406724,69.11416807,11.04448467
132,안면도(감),2021-07,418.987658988877,1962.967825,336.9309481,222.131739536107,493.6279391,69.06212708,11.36437211
132,안면도(감),2021-08,415.575718961071,1977.630954,336.1439253,221.357570148263,492.4583052,68.96838676,11.34007786
132,안면도(감),2021-09,416.259437618822,2013.154062,335.8534096,221.008810220323,491.6030023,68.92942996,11.21450044
132,안면도(감),2021-10,421.893847936517,2012.579104,336.2915841,220.510295572407,491.5421563,68.90501036,
132,안면도(감),2021-11,425.74603121734,2021.313391,337.2465613,220.134090384832,491.7927986,68.98230265,
132,안면도(감),2021-12,426.708742848466,2034.334634,337.3441007,219.792896809113,491.8270719,68.95476154,11.21383908
132,안면도(감),2022-01,427.19,2028.3,337.1,219.373,491.3618,68.7206,11.2413
132,안면도(감),2022-02,427.57,2028.8,337.1,219.1271,491.1319,68.6146,11.096
132,안면도(감),2022-03,428.9,2031.3,337.4,219.0961,490.8254,68.7218,11.17
132,안면도(감),2022-04,430.15,2021.3,337.8,219.148,490.8075,68.9121,11.332
132,안면도(감),2022-05,427.31,2003.2,337.7,218.9501,490.1799,68.9495,11.6233
132,안면도(감),2022-06,422.23,1983,338.1,218.1092,489.7701,68.9061,11.9089
132,안면도(감),2022-07,419.07,1966.3,338.9,217.6996,489.1232,68.787,11.7418
132,안면도(감),2022-08,416.92,1969.7,338.5,217.2662,488.2919,68.6453,11.5503
132,안면도(감),2022-09,417.92,2015.6,338.3,217.2799,487.7383,68.5688,11.6913
132,안면도(감),2022-10,424.4,2030.4,338.5,216.9101,487.5192,68.4053,11.7497
132,안면도(감),2022-11,428.88,2025.2,338.3,217.0901,487.654,68.511,11.5117
132,안면도(감),2022-12,429.01,2033.5,337.9,216.7974,487.6756,68.5454,11.514
